iw_n,Sigma_iw_n
-1058.3471251240437j,"[[ 0.38874057+8.97639160e-04j -0.16071948+1.60745803e-08j]
 [-0.16083516+1.60746734e-08j  3.61126029+8.97617014e-04j]]"
-1057.9775259883274j,"[[ 0.38869318+9.07489878e-04j -0.1607246 +3.55284923e-08j]
 [-0.16084028+3.55285769e-08j  3.61130761+9.07460187e-04j]]"
-1057.607926852611j,"[[ 0.38879747+9.70439952e-04j -0.16071967+3.82237750e-08j]
 [-0.16083535+3.82238676e-08j  3.61120339+9.70303925e-04j]]"
-1057.2383277168944j,"[[ 0.38880015+9.46084162e-04j -0.16073409+6.03081609e-08j]
 [-0.16084977+6.03082621e-08j  3.61120078+9.46092551e-04j]]"
-1056.868728581178j,"[[ 0.38874313+8.59210862e-04j -0.16071552+7.69654664e-08j]
 [-0.1608312 +7.69655566e-08j  3.6112577 +8.59171539e-04j]]"
-1056.4991294454614j,"[[ 0.38870384+8.87532249e-04j -0.16068936+9.42098462e-08j]
 [-0.16080504+9.42099461e-08j  3.61129708+8.87497395e-04j]]"
-1056.129530309745j,"[[ 0.38861888+9.77497430e-04j -0.16070309+1.12911594e-07j]
 [-0.16081877+1.12911692e-07j  3.61138202+9.77514129e-04j]]"
-1055.7599311740287j,"[[ 0.38866293+1.01925796e-03j -0.16073218+1.01495561e-07j]
 [-0.16084786+1.01495645e-07j  3.61133784+1.01934245e-03j]]"
-1055.3903320383124j,"[[ 0.388697  +9.86550033e-04j -0.16075892+6.06754026e-08j]
 [-0.1608746 +6.06754863e-08j  3.61130377+9.86711277e-04j]]"
-1055.020732902596j,"[[ 0.38866083+8.79953500e-04j -0.16076928+4.53852713e-08j]
 [-0.16088496+4.53853787e-08j  3.61134015+8.80094710e-04j]]"
-1054.6511337668794j,"[[ 0.38864009+7.76047467e-04j -0.16075523+8.41073502e-08j]
 [-0.16087091+8.41074693e-08j  3.611361  +7.76243708e-04j]]"
-1054.281534631163j,"[[ 0.38858057+6.51910107e-04j -0.16072986+1.08936303e-07j]
 [-0.16084554+1.08936427e-07j  3.61142057+6.52113462e-04j]]"
-1053.9119354954466j,"[[ 0.38851441+6.45222051e-04j -0.16070546+1.36393800e-07j]
 [-0.16082114+1.36393918e-07j  3.61148667+6.45534877e-04j]]"
-1053.5423363597301j,"[[ 0.38845746+6.69734771e-04j -0.16070173+1.43799495e-07j]
 [-0.16081741+1.43799598e-07j  3.61154348+6.70060160e-04j]]"
-1053.1727372240136j,"[[ 0.38846078+7.41957752e-04j -0.16068238+1.49456833e-07j]
 [-0.16079806+1.49456926e-07j  3.61154008+7.42244873e-04j]]"
-1052.8031380882971j,"[[ 0.38845978+7.68032609e-04j -0.16065909+1.50387887e-07j]
 [-0.16077477+1.50387960e-07j  3.61154089+7.68282888e-04j]]"
-1052.4335389525806j,"[[ 0.38851583+8.53181595e-04j -0.1606504 +1.41012498e-07j]
 [-0.16076608+1.41012568e-07j  3.61148482+8.53373273e-04j]]"
-1052.0639398168641j,"[[ 0.38853177+9.02101765e-04j -0.16066107+1.39910185e-07j]
 [-0.16077675+1.39910262e-07j  3.61146894+9.02425191e-04j]]"
-1051.6943406811479j,"[[ 0.38852069+8.95007956e-04j -0.16066553+1.26220948e-07j]
 [-0.16078121+1.26221019e-07j  3.61147995+8.95292314e-04j]]"
-1051.3247415454314j,"[[ 0.38851072+9.11312205e-04j -0.16067128+1.31275819e-07j]
 [-0.16078696+1.31275902e-07j  3.61149004+9.11563610e-04j]]"
-1050.9551424097149j,"[[ 0.38854552+8.97953004e-04j -0.16067311+1.64217604e-07j]
 [-0.16078879+1.64217670e-07j  3.61145509+8.98175492e-04j]]"
-1050.5855432739984j,"[[ 0.38848146+9.21335784e-04j -0.16066835+1.87128957e-07j]
 [-0.16078403+1.87129005e-07j  3.61151899+9.21520684e-04j]]"
-1050.2159441382819j,"[[ 0.38846438+9.50181152e-04j -0.16065467+1.78957578e-07j]
 [-0.16077035+1.78957616e-07j  3.61153598+9.50391213e-04j]]"
-1049.8463450025656j,"[[ 0.38853405+1.00875566e-03j -0.16067725+1.69541766e-07j]
 [-0.16079293+1.69541811e-07j  3.61146637+1.00890256e-03j]]"
